megan6.classification	count
Faecalibacterium prausnitzii	76
Unclassified	45
Phocaeicola	8
Bacteroides	8
uncultured human fecal virus	7
Siphoviridae sp.	7
Eubacteriales	4
Parabacteroides	3
Caudovirales	3
Ruminococcus bicirculans	2
Oscillospiraceae	2
Lachnospiraceae bacterium	2
Bacteria	2
uncultured Blautia sp.	1
unclassified Lachnospiraceae	1
Ruthenibacterium lactatiformans	1
Ruminococcus torques	1
Roseburia intestinalis	1
Romboutsia ilealis	1
Romboutsia	1
Pusillimonas faecalis	1
Phocaeicola vulgatus	1
Paraprevotella xylaniphila	1
Neisseriaceae	1
Myoviridae sp.	1
Lachnospiraceae bacterium NSJ-29	1
Flavonifractor plautii	1
EubacterialesLachnospiraceae	1
Escherichia coli	1
Dysosmobacter sp. Marseille-Q4140	1
Coprococcus comes	1
Clostridiaceae bacterium Marseille-Q4143	1
Bacteroides xylanisolvens	1
Bacteroides caccae	1
BacteroidalesBacteroidaceae	1
Bacteroidales	1
Anaerostipes hadrus	1
